"Story","Title","Result","Date","Stability","Duration (s)"
"Herokuapp Booker Application","CRUD Test","SUCCESS","2023-01-10T23:12:44.385Z[Europe/London]","0.0","10.65"
"Testing different request on the restful booker app","As a user I create booking","SUCCESS","2023-01-10T23:12:55.708Z[Europe/London]","0.0","0.5"
"Testing different request on the restful booker app","As a user I check that booking is created","SUCCESS","2023-01-10T23:12:56.260Z[Europe/London]","0.0","0.57"
"Testing different request on the restful booker app","As a user I update booking","SUCCESS","2023-01-10T23:12:56.857Z[Europe/London]","0.0","1.01"
"Testing different request on the restful booker app","As a user I delete booking","SUCCESS","2023-01-10T23:12:57.935Z[Europe/London]","0.0","1.04"
"Tag test","Correct HTTP method is used to access resources","SUCCESS","2023-01-10T23:12:44.348Z[Europe/London]","0.0","6.66"
"Tag test","Incorrect HTTP method used to access resources and validate response 405","SUCCESS","2023-01-10T23:12:51.089Z[Europe/London]","0.0","0.66"
"Tag test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2023-01-10T23:12:51.754Z[Europe/London]","0.0","0.53"
"Create booking with data driven","Data driven test for adding multiple booking to the application","SUCCESS","2023-01-10T23:12:52.243Z[Europe/London]","0.0","110.8"
